champion,days_old,num_last_patch,num_skins,win_rate,ban_rate,pick_rate
Aatrox,2224,1,5,0.4771,0.23420000000000002,0.11199999999999999
Ahri,2771,36,10,0.52,0.0741,0.11130000000000001
Akali,3353,2,10,0.4366,0.0851,0.08220000000000001
Alistar,3797,17,12,0.4777,0.0115,0.0353
Amumu,3672,1,10,0.5263,0.026699999999999998,0.0642
Anivia,3658,14,8,0.5009,0.0132,0.0334
Annie,3797,21,11,0.5024000000000001,0.0144,0.0336
Ashe,3797,1,10,0.5136,0.019799999999999998,0.1575
Aurelion Sol,1209,11,2,0.5058,0.0032,0.0088
Azir,1764,6,4,0.46990000000000004,0.008100000000000001,0.0385
Bard,1587,21,3,0.5038,0.0042,0.037200000000000004
Blitzcrank,3604,4,11,0.5156000000000001,0.1363,0.0759
Brand,3017,12,7,0.5213,0.0989,0.08560000000000001
Braum,1891,20,5,0.4704,0.0101,0.0316
Caitlyn,3115,1,11,0.5012,0.1225,0.2262
Camille,951,5,3,0.4775,0.0097,0.0381
Cassiopeia,3136,5,5,0.47700000000000004,0.0032,0.0144
Cho'Gath,3672,6,7,0.4885,0.01,0.0475
Corki,3587,0,9,0.49219999999999997,0.004699999999999999,0.0395
Darius,2610,4,7,0.5093,0.32420000000000004,0.1232
Diana,2534,0,5,0.5343,0.0453,0.0808
Dr. Mundo,3604,6,10,0.5046,0.009899999999999999,0.0278
Draven,2596,17,7,0.5002,0.2675,0.1084
Ekko,1509,2,5,0.5138,0.019799999999999998,0.0707
Elise,2454,19,5,0.49810000000000004,0.018000000000000002,0.0447
Evelynn,3728,11,7,0.4997,0.1328,0.0692
Ezreal,3409,15,13,0.4732,0.09210000000000002,0.22820000000000001
Fiddlesticks,3797,23,9,0.5055,0.0132,0.0362
Fiora,2694,12,8,0.48719999999999997,0.036699999999999997,0.049699999999999994
Fizz,2800,22,9,0.5235,0.0825,0.061
Galio,3262,2,6,0.4304,0.0015,0.0127
Gangplank,3618,8,9,0.4657,0.0091,0.053099999999999994
Garen,3367,6,10,0.5214,0.0431,0.0987
Gnar,1797,5,6,0.4736,0.0066,0.0382
Gragas,3451,2,10,0.46140000000000003,0.002,0.0373
Graves,2827,12,10,0.49520000000000003,0.0038,0.0286
Hecarim,2645,4,7,0.5256000000000001,0.2343,0.096
Heimerdinger,3566,14,6,0.5102,0.0078000000000000005,0.0209
Illaoi,1330,0,2,0.5309,0.0987,0.050300000000000004
Irelia,3164,1,7,0.4522,0.0655,0.08109999999999999
Ivern,1014,7,2,0.4882,0.0026,0.009399999999999999
Janna,3604,2,9,0.5264,0.0062,0.0678
Jarvan IV,3059,4,9,0.5057,0.029500000000000002,0.0983
Jax,3797,4,10,0.5036999999999999,0.1962,0.1276
Jayce,2565,2,5,0.45630000000000004,0.0086,0.0274
Jhin,1261,5,5,0.5008,0.0215,0.1411
Jinx,2105,12,6,0.5284,0.0417,0.18239999999999998
Kai'Sa,496,9,5,0.4907,0.0575,0.201
Kalista,1699,12,3,0.4678,0.0015,0.0126
Karma,3087,0,8,0.491,0.0394,0.0969
Karthus,3686,2,6,0.5108,0.016200000000000003,0.030699999999999998
Kassadin,3630,11,5,0.4966,0.0313,0.0408
Katarina,3587,9,11,0.4972,0.056299999999999996,0.0857
Kayle,3797,5,9,0.49439999999999995,0.0144,0.042699999999999995
Kayn,734,5,2,0.49979999999999997,0.1642,0.1433
Kennen,3386,4,7,0.5125,0.023399999999999997,0.0458
Kha'Zix,2483,19,5,0.493,0.030299999999999997,0.0742
Kindred,1371,4,2,0.5012,0.0128,0.0368
Kled,1070,11,2,0.5223,0.0070999999999999995,0.0264
Kog'Maw,3309,19,10,0.4951,0.0012,0.0139
LeBlanc,3178,7,7,0.4617,0.053200000000000004,0.039599999999999996
Lee Sin,3028,19,9,0.4738,0.0506,0.1245
Leona,2925,6,8,0.5053,0.0364,0.0766
Lissandra,2268,4,4,0.4581,0.0046,0.015700000000000002
Lucian,2154,8,6,0.4657,0.0128,0.0974
Lulu,2674,1,8,0.4891,0.0115,0.0654
Lux,3192,9,11,0.5338,0.36369999999999997,0.2798
Malphite,3604,31,8,0.4838,0.008,0.0424
Malzahar,3332,29,7,0.5316,0.09539999999999998,0.0599
Maokai,3072,4,7,0.4976,0.0011,0.0155
Master Yi,3797,1,9,0.5207,0.2829,0.1127
Miss Fortune,3233,27,12,0.5059,0.0126,0.0794
Mordekaiser,3429,1,5,0.5323,0.6469,0.1659
Morgana,3797,4,8,0.4965,0.34979999999999994,0.147
Nami,2412,36,6,0.5215,0.0079,0.105
Nasus,3575,12,8,0.515,0.0911,0.08539999999999999
Nautilus,2709,1,5,0.5067,0.18230000000000002,0.11560000000000001
Neeko,223,7,1,0.5181,0.0352,0.0727
Nidalee,3498,41,9,0.4556,0.0034000000000000002,0.029300000000000003
Nocturne,3045,25,6,0.5078,0.0085,0.0326
Nunu,3797,8,8,0.5293,0.0349,0.0579
Olaf,3324,9,7,0.495,0.013000000000000001,0.039
Orianna,2967,22,8,0.4849,0.004,0.0412
Ornn,692,0,1,0.4865,0.0024,0.022000000000000002
Pantheon,3451,24,8,0.49090000000000006,0.026000000000000002,0.0444
Poppy,3471,26,9,0.475,0.0043,0.029900000000000003
Pyke,411,0,2,0.4852,0.1791,0.11779999999999999
Qiyana,18,0,1,0.45520000000000005,0.15259999999999999,0.105
Quinn,2328,9,4,0.49979999999999997,0.0054,0.0195
Rakan,818,4,4,0.4935,0.0037,0.0435
Rammus,3658,2,8,0.5101,0.09390000000000001,0.0375
Rek'Sai,1678,4,2,0.4828,0.0148,0.0235
Renekton,3101,4,10,0.5011,0.0776,0.0868
Rengar,2520,9,5,0.49219999999999997,0.0786,0.091
Riven,2862,12,9,0.5069,0.08310000000000001,0.10279999999999999
Rumble,3003,6,4,0.5273,0.008,0.0417
