champion,release_date,last_patch,num_skins,win_rate,ban_rate,pick_rate,date_data
Aatrox,2013-06-13,9.12,5,47.71%,23.42%,11.20%,2019-07-16
Ahri,2011-12-14,8.20,10,52.00%,7.41%,11.13%,2019-07-16
Akali,2010-05-11,9.11,10,43.66%,8.51%,8.22%,2019-07-16
Alistar,2009-02-21,8.21,12,47.77%,1.15%,3.53%,2019-07-16
Amumu,2009-06-26,9.12,10,52.63%,2.67%,6.42%,2019-07-16
Anivia,2009-07-10,8.24,8,50.09%,1.32%,3.34%,2019-07-16
Annie,2009-02-21,8.17,11,50.24%,1.44%,3.36%,2019-07-16
Ashe,2009-02-21,9.12,10,51.36%,1.98%,15.75%,2019-07-16
Aurelion Sol,2016-03-24,9.2,2,50.58%,0.32%,0.88%,2019-07-16
Azir,2014-09-16,9.7,4,46.99%,0.81%,3.85%,2019-07-16
Bard,2015-03-12,8.17,3,50.38%,0.42%,3.72%,2019-07-16
Blitzcrank,2009-09-02,9.9,11,51.56%,13.63%,7.59%,2019-07-16
Brand,2011-04-12,9.10,7,52.13%,9.89%,8.56%,2019-07-16
Braum,2014-05-12,8.18,5,47.04%,1.01%,3.16%,2019-07-16
Caitlyn,2011-01-04,9.12,11,50.12%,12.25%,22.62%,2019-07-16
Camille,2016-12-07,9.8,3,47.75%,0.97%,3.81%,2019-07-16
Cassiopeia,2010-12-14,9.8,5,47.70%,0.32%,1.44%,2019-07-16
Cho'Gath,2009-06-26,9.7,7,48.85%,1.00%,4.75%,2019-07-16
Corki,2009-09-19,9.13,9,49.22%,0.47%,3.95%,2019-07-16
Darius,2012-05-23,9.9,7,50.93%,32.42%,12.32%,2019-07-16
Diana,2012-08-07,9.13,5,53.43%,4.53%,8.08%,2019-07-16
Dr. Mundo,2009-09-02,9.7,10,50.46%,0.99%,2.78%,2019-07-16
Draven,2012-06-06,8.21,7,50.02%,26.75%,10.84%,2019-07-16
Ekko,2015-05-29,9.11,5,51.38%,1.98%,7.07%,2019-07-16
Elise,2012-10-26,8.19,5,49.81%,1.80%,4.47%,2019-07-16
Evelynn,2009-05-01,9.2,7,49.97%,13.28%,6.92%,2019-07-16
Ezreal,2010-03-16,8.23,13,47.32%,9.21%,22.82%,2019-07-16
Fiddlesticks,2009-02-21,8.15,9,50.55%,1.32%,3.62%,2019-07-16
Fiora,2012-02-29,9.10,8,48.72%,3.67%,4.97%,2019-07-16
Fizz,2011-11-15,8.16,9,52.35%,8.25%,6.10%,2019-07-16
Galio,2010-08-10,9.11,6,43.04%,0.15%,1.27%,2019-07-16
Gangplank,2009-08-19,9.5,9,46.57%,0.91%,5.31%,2019-07-16
Garen,2010-04-27,9.7,10,52.14%,4.31%,9.87%,2019-07-16
Gnar,2014-08-14,9.8,6,47.36%,0.66%,3.82%,2019-07-16
Gragas,2010-02-02,9.11,10,46.14%,0.20%,3.73%,2019-07-16
Graves,2011-10-19,9.10,10,49.52%,0.38%,2.86%,2019-07-16
Hecarim,2012-04-18,9.9,7,52.56%,23.43%,9.60%,2019-07-16
Heimerdinger,2009-10-10,8.24,6,51.02%,0.78%,2.09%,2019-07-16
Illaoi,2015-11-24,9.13,2,53.09%,9.87%,5.03%,2019-07-16
Irelia,2010-11-16,9.12,7,45.22%,6.55%,8.11%,2019-07-16
Ivern,2016-10-05,9.6,2,48.82%,0.26%,0.94%,2019-07-16
Janna,2009-09-02,9.11,9,52.64%,0.62%,6.78%,2019-07-16
Jarvan IV,2011-03-01,9.9,9,50.57%,2.95%,9.83%,2019-07-16
Jax,2009-02-21,9.9,10,50.37%,19.62%,12.76%,2019-07-16
Jayce,2012-07-07,9.11,5,45.63%,0.86%,2.74%,2019-07-16
Jhin,2016-02-01,9.8,5,50.08%,2.15%,14.11%,2019-07-16
Jinx,2013-10-10,9.1,6,52.84%,4.17%,18.24%,2019-07-16
Kai'Sa,2018-03-07,9.4,5,49.07%,5.75%,20.10%,2019-07-16
Kalista,2014-11-20,9.1,3,46.78%,0.15%,1.26%,2019-07-16
Karma,2011-02-01,9.13,8,49.10%,3.94%,9.69%,2019-07-16
Karthus,2009-06-12,9.11,6,51.08%,1.62%,3.07%,2019-07-16
Kassadin,2009-08-07,9.2,5,49.66%,3.13%,4.08%,2019-07-16
Katarina,2009-09-19,9.4,11,49.72%,5.63%,8.57%,2019-07-16
Kayle,2009-02-21,9.8,9,49.44%,1.44%,4.27%,2019-07-16
Kayn,2017-07-12,9.8,2,49.98%,16.42%,14.33%,2019-07-16
Kennen,2010-04-08,9.9,7,51.25%,2.34%,4.58%,2019-07-16
Kha'Zix,2012-09-27,8.19,5,49.30%,3.03%,7.42%,2019-07-16
Kindred,2015-10-14,9.9,2,50.12%,1.28%,3.68%,2019-07-16
Kled,2016-08-10,9.2,2,52.23%,0.71%,2.64%,2019-07-16
Kog'Maw,2010-06-24,8.19,10,49.51%,0.12%,1.39%,2019-07-16
LeBlanc,2010-11-02,9.6,7,46.17%,5.32%,3.96%,2019-07-16
Lee Sin,2011-04-01,8.19,9,47.38%,5.06%,12.45%,2019-07-16
Leona,2011-07-13,9.7,8,50.53%,3.64%,7.66%,2019-07-16
Lissandra,2013-04-30,9.9,4,45.81%,0.46%,1.57%,2019-07-16
Lucian,2013-08-22,9.5,6,46.57%,1.28%,9.74%,2019-07-16
Lulu,2012-03-20,9.12,8,48.91%,1.15%,6.54%,2019-07-16
Lux,2010-10-19,9.4,11,53.38%,36.37%,27.98%,2019-07-16
Malphite,2009-09-02,8.7,8,48.38%,0.80%,4.24%,2019-07-16
Malzahar,2010-06-01,8.9,7,53.16%,9.54%,5.99%,2019-07-16
Maokai,2011-02-16,9.9,7,49.76%,0.11%,1.55%,2019-07-16
Master Yi,2009-02-21,9.12,9,52.07%,28.29%,11.27%,2019-07-16
Miss Fortune,2010-09-08,8.11,12,50.59%,1.26%,7.94%,2019-07-16
Mordekaiser,2010-02-24,9.12,5,53.23%,64.69%,16.59%,2019-07-16
Morgana,2009-02-21,9.9,8,49.65%,34.98%,14.70%,2019-07-16
Nami,2012-12-07,8.20,6,52.15%,0.79%,10.50%,2019-07-16
Nasus,2009-10-01,9.1,8,51.50%,9.11%,8.54%,2019-07-16
Nautilus,2012-02-14,9.12,5,50.67%,18.23%,11.56%,2019-07-16
Neeko,2018-12-05,9.6,1,51.81%,3.52%,7.27%,2019-07-16
Nidalee,2009-12-17,7.22,9,45.56%,0.34%,2.93%,2019-07-16
Nocturne,2011-03-15,8.13,6,50.78%,0.85%,3.26%,2019-07-16
Nunu,2009-02-21,9.5,8,52.93%,3.49%,5.79%,2019-07-16
Olaf,2010-06-09,9.4,7,49.50%,1.30%,3.90%,2019-07-16
Orianna,2011-06-01,8.16,8,48.49%,0.40%,4.12%,2019-07-16
Ornn,2017-08-23,9.13,1,48.65%,0.24%,2.20%,2019-07-16
Pantheon,2010-02-02,8.14,8,49.09%,2.60%,4.44%,2019-07-16
Poppy,2010-01-13,8.12,9,47.50%,0.43%,2.99%,2019-07-16
Pyke,2018-05-31,9.13,2,48.52%,17.91%,11.78%,2019-07-16
Qiyana,2019-06-28,9.13,1,45.52%,15.26%,10.50%,2019-07-16
Quinn,2013-03-01,9.4,4,49.98%,0.54%,1.95%,2019-07-16
Rakan,2017-04-19,9.9,4,49.35%,0.37%,4.35%,2019-07-16
Rammus,2009-07-10,9.11,8,51.01%,9.39%,3.75%,2019-07-16
Rek'Sai,2014-12-11,9.9,2,48.28%,1.48%,2.35%,2019-07-16
Renekton,2011-01-18,9.9,10,50.11%,7.76%,8.68%,2019-07-16
Rengar,2012-08-21,9.4,5,49.22%,7.86%,9.10%,2019-07-16
Riven,2011-09-14,9.10,9,50.69%,8.31%,10.28%,2019-07-16
Rumble,2011-04-26,9.7,4,52.73%,0.80%,4.17%,2019-07-16
Ryze,2009-02-21,9.12,10,47.34%,1.30%,5.18%,2019-07-16
Sejuani,2012-01-17,9.13,8,47.53%,4.28%,6.43%,2019-07-16
Shaco,2009-10-10,9.10,8,50.00%,2.51%,4.56%,2019-07-16
Shen,2010-03-24,9.9,7,48.81%,0.26%,4.77%,2019-07-16
Shyvana,2011-11-01,9.2,6,49.02%,0.45%,2.76%,2019-07-16
Singed,2009-04-18,9.8,9,50.82%,0.38%,2.29%,2019-07-16
Sion,2009-02-21,9.3,5,49.10%,0.16%,2.33%,2019-07-16
Sivir,2009-02-21,9.13,11,51.92%,16.69%,14.50%,2019-07-16
Skarner,2011-08-09,9.5,4,50.94%,0.23%,1.06%,2019-07-16
Sona,2010-09-21,9.13,8,51.47%,1.23%,7.68%,2019-07-16
Soraka,2009-02-21,9.10,9,51.50%,1.42%,6.04%,2019-07-16
Swain,2010-10-05,8.14,4,50.18%,0.44%,3.27%,2019-07-16
Sylas,2019-01-25,9.13,1,45.47%,8.85%,11.66%,2019-07-16
Syndra,2012-09-13,9.13,6,48.65%,0.33%,2.51%,2019-07-16
Tahm Kench,2015-07-09,9.9,3,49.93%,29.46%,5.87%,2019-07-16
Taliyah,2016-05-18,8.23,2,50.79%,0.22%,2.24%,2019-07-16
Talon,2011-08-24,8.14,6,49.99%,4.99%,6.12%,2019-07-16
Taric,2009-08-19,8.17,4,52.73%,0.34%,2.48%,2019-07-16
Teemo,2009-02-21,8.24,10,51.55%,7.76%,8.14%,2019-07-16
Thresh,2013-01-23,9.4,6,48.61%,7.11%,17.01%,2019-07-16
Tristana,2009-02-21,9.13,10,50.02%,1.41%,9.74%,2019-07-16
Trundle,2010-12-01,9.8,5,49.20%,0.28%,2.26%,2019-07-16
Tryndamere,2009-05-01,9.12,9,51.62%,9.36%,9.25%,2019-07-16
Twisted Fate,2009-02-21,9.4,11,47.63%,0.34%,4.51%,2019-07-16
Twitch,2009-05-01,8.14,9,50.85%,1.78%,7.28%,2019-07-16
Udyr,2009-12-02,9.13,4,52.21%,5.78%,5.46%,2019-07-16
Urgot,2010-08-24,9.7,4,51.95%,2.76%,4.35%,2019-07-16
Varus,2012-05-08,9.4,7,47.69%,0.29%,5.10%,2019-07-16
Vayne,2011-05-10,9.10,10,50.11%,8.57%,14.16%,2019-07-16
Veigar,2009-07-24,8.19,9,49.87%,3.56%,9.23%,2019-07-16
Vel'Koz,2014-02-27,8.14,3,52.37%,1.61%,7.21%,2019-07-16
Vi,2012-12-19,9.5,7,53.28%,3.85%,8.02%,2019-07-16
Viktor,2011-12-29,8.24,4,50.05%,0.26%,2.23%,2019-07-16
Vladimir,2010-07-27,8.13,8,48.46%,13.25%,7.71%,2019-07-16
Volibear,2011-11-29,9.9,5,52.57%,1.76%,6.76%,2019-07-16
Warwick,2009-02-21,9.11,10,51.68%,1.65%,6.85%,2019-07-16
Wukong,2011-07-26,9.4,6,50.88%,0.48%,3.22%,2019-07-16
Xayah,2017-04-19,9.6,3,51.82%,0.93%,7.04%,2019-07-16
Xerath,2011-10-05,8.9,4,51.87%,1.53%,6.12%,2019-07-16
Xin Zhao,2010-07-13,9.10,8,50.15%,1.38%,4.99%,2019-07-16
Yasuo,2013-12-13,9.4,6,49.78%,42.38%,19.12%,2019-07-16
Yorick,2011-06-22,9.5,4,51.68%,1.78%,3.19%,2019-07-16
Yuumi,2019-05-14,9.12,1,48.41%,45.29%,13.16%,2019-07-16
Zac,2013-03-29,9.12,3,50.85%,0.67%,3.02%,2019-07-16
Zed,2012-11-13,9.8,6,50.47%,40.49%,11.68%,2019-07-16
Ziggs,2012-02-01,9.12,7,51.19%,0.19%,2.18%,2019-07-16
Zilean,2009-04-18,8.9,5,51.24%,1.21%,3.93%,2019-07-16
Zoe,2017-11-21,9.6,2,48.12%,4.08%,3.52%,2019-07-16
Zyra,2012-07-24,9.10,4,52.62%,3.92%,5.69%,2019-07-16
