champion,release_date,last_patch,num_skins,win_rate,ban_rate,pick_rate,date_data
Aatrox,2013-06-13,9.12,5,47.38%,23.69%,10.64%,2019-07-17
Ahri,2011-12-14,8.20,10,52.75%,7.55%,11.22%,2019-07-17
Akali,2010-05-11,9.11,11,42.30%,8.75%,8.29%,2019-07-17
Alistar,2009-02-21,8.21,12,47.45%,1.08%,3.62%,2019-07-17
Amumu,2009-06-26,9.12,10,52.60%,2.57%,6.32%,2019-07-17
Anivia,2009-07-10,8.24,8,50.65%,1.34%,3.31%,2019-07-17
Annie,2009-02-21,8.17,11,51.05%,1.41%,3.46%,2019-07-17
Ashe,2009-02-21,9.12,10,51.78%,2.17%,15.13%,2019-07-17
Aurelion Sol,2016-03-24,9.2,2,50.95%,0.30%,0.93%,2019-07-17
Azir,2014-09-16,9.7,4,46.96%,0.80%,3.52%,2019-07-17
Bard,2015-03-12,8.17,3,51.08%,0.36%,3.74%,2019-07-17
Blitzcrank,2009-09-02,9.9,11,50.89%,13.84%,8.00%,2019-07-17
Brand,2011-04-12,9.10,7,51.95%,10.01%,8.34%,2019-07-17
Braum,2014-05-12,8.18,5,48.21%,0.93%,3.08%,2019-07-17
Caitlyn,2011-01-04,9.12,11,50.43%,11.97%,22.33%,2019-07-17
Camille,2016-12-07,9.8,3,49.38%,1.02%,3.86%,2019-07-17
Cassiopeia,2010-12-14,9.8,5,48.01%,0.57%,1.86%,2019-07-17
Cho'Gath,2009-06-26,9.7,7,51.37%,0.99%,4.64%,2019-07-17
Corki,2009-09-19,9.13,9,49.95%,0.48%,3.59%,2019-07-17
Darius,2012-05-23,9.9,7,51.08%,32.45%,12.56%,2019-07-17
Diana,2012-08-07,9.13,5,52.75%,5.32%,9.14%,2019-07-17
Dr. Mundo,2009-09-02,9.7,10,50.32%,1.09%,2.66%,2019-07-17
Draven,2012-06-06,8.21,7,50.91%,27.05%,10.49%,2019-07-17
Ekko,2015-05-29,9.11,5,51.00%,2.00%,7.11%,2019-07-17
Elise,2012-10-26,8.19,5,48.24%,1.69%,4.56%,2019-07-17
Evelynn,2009-05-01,9.2,7,50.63%,12.87%,6.90%,2019-07-17
Ezreal,2010-03-16,8.23,13,47.40%,8.93%,22.34%,2019-07-17
Fiddlesticks,2009-02-21,8.15,9,49.29%,1.29%,3.47%,2019-07-17
Fiora,2012-02-29,9.10,8,49.50%,3.65%,4.82%,2019-07-17
Fizz,2011-11-15,8.16,9,52.55%,8.19%,6.22%,2019-07-17
Galio,2010-08-10,9.11,6,44.69%,0.15%,1.34%,2019-07-17
Gangplank,2009-08-19,9.5,9,46.41%,0.88%,4.87%,2019-07-17
Garen,2010-04-27,9.7,10,52.20%,4.38%,9.93%,2019-07-17
Gnar,2014-08-14,9.8,6,47.58%,0.65%,3.68%,2019-07-17
Gragas,2010-02-02,9.11,10,48.59%,0.21%,3.72%,2019-07-17
Graves,2011-10-19,9.10,10,49.89%,0.33%,2.87%,2019-07-17
Hecarim,2012-04-18,9.9,7,52.17%,22.31%,9.34%,2019-07-17
Heimerdinger,2009-10-10,8.24,6,52.73%,0.82%,2.09%,2019-07-17
Illaoi,2015-11-24,9.13,2,51.85%,10.07%,4.94%,2019-07-17
Irelia,2010-11-16,9.12,9,45.60%,6.81%,7.85%,2019-07-17
Ivern,2016-10-05,9.6,2,49.67%,0.28%,0.96%,2019-07-17
Janna,2009-09-02,9.11,9,51.32%,0.62%,6.83%,2019-07-17
Jarvan IV,2011-03-01,9.9,9,50.42%,2.97%,9.61%,2019-07-17
Jax,2009-02-21,9.9,10,50.86%,19.70%,12.84%,2019-07-17
Jayce,2012-07-07,9.11,5,46.96%,0.85%,2.68%,2019-07-17
Jhin,2016-02-01,9.8,5,49.47%,2.41%,14.71%,2019-07-17
Jinx,2013-10-10,9.1,7,52.45%,4.09%,18.36%,2019-07-17
Kai'Sa,2018-03-07,9.4,5,48.71%,5.79%,21.10%,2019-07-17
Kalista,2014-11-20,9.1,3,47.16%,0.13%,1.27%,2019-07-17
Karma,2011-02-01,9.13,8,49.81%,4.06%,9.96%,2019-07-17
Karthus,2009-06-12,9.11,6,49.90%,1.62%,3.14%,2019-07-17
Kassadin,2009-08-07,9.2,5,49.22%,3.12%,4.24%,2019-07-17
Katarina,2009-09-19,9.4,11,50.16%,6.19%,8.39%,2019-07-17
Kayle,2009-02-21,9.8,9,51.01%,1.40%,4.41%,2019-07-17
Kayn,2017-07-12,9.8,2,50.11%,16.46%,13.86%,2019-07-17
Kennen,2010-04-08,9.9,7,51.38%,2.27%,4.56%,2019-07-17
